S. No.,Movie,Year,Director,Actors
173,Kill Bill: Vol. 1,2003,Quentin Tarantino,"Uma Thurman, David Carradine"
174,Cool Hand Luke,1967,Stuart Rosenberg,"Paul Newman, George Kennedy"
175,Rebecca,1940,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine"
176,Tôkyô monogatari,1953,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama"
177,Mary and Max,2009,Adam Elliot,"Toni Collette, Philip Seymour Hoffman"
178,Hacksaw Ridge,2016,Mel Gibson,"Andrew Garfield, Sam Worthington"
179,Gone Girl,2014,David Fincher,"Ben Affleck, Rosamund Pike"
180,How to Train Your Dragon,2010,Dean DeBlois,"Jay Baruchel, Gerard Butler"
181,Sunrise: A Song of Two Humans,1927,F.W. Murnau,"George O'Brien, Janet Gaynor"
182,Jurassic Park,1993,Steven Spielberg,"Sam Neill, Laura Dern"
183,Relatos salvajes,2014,Damián Szifron,"Darío Grandinetti, María Marull"
184,Green Book,2018,Peter Farrelly,"Viggo Mortensen, Mahershala Ali"
185,Into the Wild,2007,Sean Penn,"Emile Hirsch, Vince Vaughn"
186,The Truman Show,1998,Peter Weir,"Jim Carrey, Ed Harris"
187,In the Name of the Father,1993,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite"
188,The Grand Budapest Hotel,2014,Wes Anderson,"Ralph Fiennes, F. Murray Abraham"
189,It Happened One Night,1934,Frank Capra,"Clark Gable, Claudette Colbert"
190,Stand by Me,1986,Rob Reiner,"Wil Wheaton, River Phoenix"
191,Life of Brian,1979,Terry Jones,"Graham Chapman, John Cleese"
192,Platoon,1986,Oliver Stone,"Charlie Sheen, Tom Berenger"
193,Stalker,1979,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy"
194,Eskiya,1996,Yavuz Turgul,"Sener Sen, Ugur Yücel"
195,Network,1976,Sidney Lumet,"Faye Dunaway, William Holden"
196,Salinui chueok,2003,Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim"
197,Persona,1966,Ingmar Bergman,"Bibi Andersson, Liv Ullmann"
198,Ben-Hur,1959,William Wyler,"Charlton Heston, Jack Hawkins"
199,Hotel Rwanda,2004,Terry George,"Don Cheadle, Sophie Okonedo"
200,12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams"
201,Million Dollar Baby,2004,Clint Eastwood,"Hilary Swank, Clint Eastwood"
202,Andrei Rublev,1966,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov"
203,La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain"
204,Le salaire de la peur,1953,Henri-Georges Clouzot,"Yves Montand, Charles Vanel"
205,Before Sunrise,1995,Richard Linklater,"Ethan Hawke, Julie Delpy"
206,Rush,2013,Ron Howard,"Daniel Brühl, Chris Hemsworth"
207,Mad Max: Fury Road,2015,George Miller,"Tom Hardy, Charlize Theron"
208,Les quatre cents coups,1959,François Truffaut,"Jean-Pierre Léaud, Albert Rémy"
209,Prisoners,2013,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal"
210,Hachi: A Dog's Tale,2009,Lasse Hallström,"Richard Gere, Joan Allen"
211,Spotlight,2015,Tom McCarthy,"Mark Ruffalo, Michael Keaton"
212,Logan,2017,James Mangold,"Hugh Jackman, Patrick Stewart"
213,Amores perros,2000,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal"
214,Rang De Basanti,2006,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan"
215,Catch Me If You Can,2002,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks"
216,The Princess Bride,1987,Rob Reiner,"Cary Elwes, Mandy Patinkin"
217,Kaze no tani no Naushika,1984,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura"
218,Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Daniel Radcliffe, Emma Watson"
219,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,"Paul Newman, Robert Redford"
220,Rocky,1976,John G. Avildsen,"Sylvester Stallone, Talia Shire"
221,Barry Lyndon,1975,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson"
222,"Monsters, Inc.",2001,Pete Docter,"Billy Crystal, John Goodman"
223,The Grapes of Wrath,1940,John Ford,"Henry Fonda, Jane Darwell"
224,The Maltese Falcon,1941,John Huston,"Humphrey Bogart, Mary Astor"
225,Dead Poets Society,1989,Peter Weir,"Robin Williams, Robert Sean Leonard"
226,The Terminator,1984,James Cameron,"Arnold Schwarzenegger, Linda Hamilton"
227,Donnie Darko,2001,Richard Kelly,"Jake Gyllenhaal, Jena Malone"
228,Gandhi,1982,Richard Attenborough,"Ben Kingsley, John Gielgud"
229,Les diaboliques,1955,Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot"
230,La haine,1995,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé"
231,Groundhog Day,1993,Harold Ramis,"Bill Murray, Andie MacDowell"
232,Faa yeung nin wa,2000,Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung"
233,The Wizard of Oz,1939,Victor Fleming,"Judy Garland, Frank Morgan"
234,Le notti di Cabiria,1957,Federico Fellini,"Giulietta Masina, François Périer"
235,Jaws,1975,Steven Spielberg,"Roy Scheider, Robert Shaw"
236,The Help,2011,Tate Taylor,"Emma Stone, Viola Davis"
237,Ah-ga-ssi,2016,Chan-wook Park,"Min-hee Kim, Jung-woo Ha"
238,Mandariinid,2013,Zaza Urushadze,"Lembit Ulfsak, Elmo Nüganen"
239,Drishyam,2015,Nishikant Kamat,"Ajay Devgn, Shriya Saran"
240,Before Sunset,2004,Richard Linklater,"Ethan Hawke, Julie Delpy"
241,Sanjuro,1962,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai"
242,Gangs of Wasseypur,2012,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha"
243,"Paris, Texas",1984,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski"
244,Paper Moon,1973,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal"
245,Tenkû no shiro Rapyuta,1986,Hayao Miyazaki,"Anna Paquin, James Van Der Beek"
246,The Best Years of Our Lives,1946,William Wyler,"Myrna Loy, Dana Andrews"
247,Fanny och Alexander,1982,Ingmar Bergman,"Bertil Guve, Pernilla Allwin"
248,Guardians of the Galaxy,2014,James Gunn,"Chris Pratt, Vin Diesel"
249,PK,2014,Rajkumar Hirani,"Aamir Khan, Anushka Sharma"
250,Trois couleurs: Rouge,1994,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant"
